timestamp,commit_date,commit_hash,commit_short,branch,crate_name,loc_total,loc_code,loc_comments,loc_blanks,functions_count,avg_cyclomatic,max_cyclomatic,avg_cognitive,max_cognitive,avg_halstead_diff,max_halstead_diff,coverage_percent,covered_lines,total_lines,human_percent,claude_percent
2025-12-19T23:02:58.700442+00:00,2025-12-19,960032fb81037fd4f7fc8ef88123c7b0e3606a10,960032f,main,mmnes_frontend,1059,4043,92,657,293,3.61,43.0,4.1,77.0,9.34,35.17,0.0,0,2606,100.0,0.0
2025-12-19T23:02:58.700442+00:00,2025-12-19,960032fb81037fd4f7fc8ef88123c7b0e3606a10,960032f,main,mmretrodb,164,596,5,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
2025-12-20T09:56:42.467100+00:00,2025-12-20,f31108721ce106ccf680a50b22b4f7632e1b4828,f311087,main,mmnes_core,6815,21384,2399,3570,1260,2.7,48.0,0.85,37.0,10.83,81.81,46.03,3617,7858,67.6,32.4
2025-12-20T09:56:42.467100+00:00,2025-12-20,f31108721ce106ccf680a50b22b4f7632e1b4828,f311087,main,mmnes_frontend,1061,4059,92,658,293,3.63,43.0,4.11,77.0,9.35,35.17,0.0,0,2611,99.4,0.6
2025-12-20T09:56:42.467100+00:00,2025-12-20,f31108721ce106ccf680a50b22b4f7632e1b4828,f311087,main,mmretrodb,164,596,5,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
2025-12-20T11:58:35.001445+00:00,2025-12-20,595768a7908291685e6458c49844cfedd2d9a6a6,595768a,main,mmnes_core,7336,23029,2910,3805,1313,2.79,66.0,0.94,58.0,10.95,98.62,46.01,3845,8356,59.4,40.6
2025-12-20T11:58:35.001445+00:00,2025-12-20,595768a7908291685e6458c49844cfedd2d9a6a6,595768a,main,mmnes_frontend,1061,4059,92,658,293,3.63,43.0,4.11,77.0,9.35,35.17,0.0,0,2611,99.4,0.6
2025-12-20T11:58:35.001445+00:00,2025-12-20,595768a7908291685e6458c49844cfedd2d9a6a6,595768a,main,mmretrodb,164,596,5,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
2025-12-21T10:21:31.727559+00:00,2025-12-21,33f94ad23bb90eda16c099345869132dfdb745e2,33f94ad,main,mmnes_core,7424,23418,3067,3858,1329,2.77,70.0,0.95,68.0,10.88,101.25,46.82,3935,8404,57.4,42.6
2025-12-21T10:21:31.727559+00:00,2025-12-21,33f94ad23bb90eda16c099345869132dfdb745e2,33f94ad,main,mmnes_frontend,1060,4044,92,657,293,3.61,43.0,4.1,77.0,9.34,35.17,0.0,0,2607,98.9,1.1
2025-12-21T10:21:31.727559+00:00,2025-12-21,33f94ad23bb90eda16c099345869132dfdb745e2,33f94ad,main,mmretrodb,164,596,5,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
2025-12-21T11:28:10.994555+00:00,2025-12-21,b19f153073729ac52e07b95beec92127b3f92ab2,b19f153,main,mmnes_core,7709,24230,3276,3986,1379,2.73,70.0,0.93,68.0,10.74,101.25,46.99,3882,8262,54.7,45.3
2025-12-21T11:28:10.994555+00:00,2025-12-21,b19f153073729ac52e07b95beec92127b3f92ab2,b19f153,main,mmnes_frontend,1060,4044,92,657,293,3.61,43.0,4.1,77.0,9.34,35.17,0.0,0,2607,98.9,1.1
2025-12-21T11:28:10.994555+00:00,2025-12-21,b19f153073729ac52e07b95beec92127b3f92ab2,b19f153,main,mmretrodb,164,596,5,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
